a,99000000
act,587302
active,369863
activity,265823
age,2448276
air,4555556
amount,333333
answer,428571
anything,234568
apple,3347826
area,2225806
arm,538462
army,851852
art,1702703
ask,470588
attack,562500
baby,4263158
back,3347826
bad,2333333
bag,1325581
ball,1272727
bank,5666667
base,694915
basket,282051
bath,1173913
bear,1040816
beautiful,470588
bed,1857143
bedroom,515152
bell,1272727
big,4882353
bird,724138
birth,666667
birthday,1500000
bit,282051
bite,298701
block,960784
blue,4263158
board,1325581
boat,923077
body,2703704
book,2703704
border,298701
bottle,612903
bowl,1439024
box,2333333
boy,1564103
branch,333333
brave,75269
bread,1000000
break,724138
breakfast,1222222
bridge,666667
brother,639344
brush,351351
burn,449275
business,1941176
bus,960784
buy,4263158
cake,1272727
call,1702703
can,19000000
candle,282051
cap,587302
car,6692308
card,4555556
care,3347826
carry,408451
case,1564103
cat,2225806
catch,298701
chair,754386
chance,190476
change,2846154
chicken,3545455
child,1702703
chocolate,923077
choice,388889
city,7333333
class,1173913
clock,333333
clothes,785714
cloud,612903
coffee,1777778
coat,388889
cold,1325581
comfortable,86957
common,694915
computer,851852
condition,149425
control,1272727
cook,1127660
corner,408451
cost,3000000
count,666667
country,1941176
course,785714
cover,1272727
crash,449275
cross,1040816
cry,265823
cup,1272727
cut,1040816
dance,818182
dark,1380952
daughter,754386
day,6692308
dead,1325581
deep,785714
desk,428571
dinner,612903
direction,176471
dish,369863
dog,4882353
door,1777778
double,886792
draw,492537
dream,818182
dress,1702703
drink,1127660
drive,3166667
drop,724138
dust,176471
duty,408451
ear,818182
earth,785714
east,1777778
eat,2225806
education,639344
effect,562500
egg,886792
end,1439024
equal,190476
entrance,75269
escape,408451
evening,162791
event,515152
examination,20408
example,639344
exercise,351351
eye,2125000
face,2030303
fail,86957
fall,1083333
family,3166667
farm,1500000
father,492537
fault,86957
fear,282051
feed,694915
feel,960784
few,111111
fight,754386
fill,265823
film,587302
finger,388889
finish,234568
fire,2225806
fish,1702703
fix,818182
floor,886792
flower,923077
fly,666667
fold,162791
food,6692308
foot,1083333
football,5250000
force,923077
form,1325581
freedom,315789
friend,666667
front,1083333
fruit,694915
fun,785714
funny,818182
future,369863
game,6142857
garden,1631579
gate,388889
general,1222222
gift,1272727
give,1127660
glad,20408
glass,1222222
go,4555556
gold,1941176
good,5250000
grandfather,30928
grandmother,30928
grass,408451
great,1702703
green,3545455
ground,666667
group,1702703
hair,4000000
half,851852
hall,1040816
hand,1127660
hat,818182
hate,265823
head,1777778
heavy,449275
heart,1857143
height,886792
hello,351351
help,1702703
hide,190476
high,5666667
hit,515152
hold,428571
hole,470588
holiday,923077
home,10111111
hope,470588
horse,851852
hospital,2225806
hotel,3347826
house,6142857
hour,1000000
hurry,10101
husband,694915
hurt,639344
ice,1941176
idea,204819
if,6692308
increase,515152
inside,694915
iron,1040816
invite,75269
island,2571429
it,11500000
job,1439024
join,298701
juice,724138
jump,315789
keep,1083333
key,1500000
kind,754386
king,2703704
kitchen,1500000
knee,449275
knife,333333
ladder,136364
lady,785714
land,1083333
laugh,75269
lead,333333
leave,754386
leg,612903
length,470588
lesson,149425
let,639344
letter,1173913
library,1040816
lie,123596
life,2846154
light,2846154
lip,612903
list,2333333
listen,190476
lock,612903
long,8090909
look,1564103
love,3166667
low,1702703
luck,123596
machine,1564103
main,1000000
make,6142857
man,3347826
many,6692308
map,3347826
mark,1040816
market,2571429
matter,204819
meal,388889
meat,694915
meet,408451
mention,20408
method,298701
middle,1127660
milk,1000000
mind,315789
minute,369863
miss,612903
mistake,30928
mix,724138
model,1173913
moment,86957
money,2125000
month,1040816
morning,724138
most,2125000
mother,639344
mountain,1631579
mouth,612903
move,639344
music,2448276
name,3347826
nation,282051
nature,282051
neck,639344
net,2125000
news,9000000
newspaper,176471
night,2225806
noise,351351
north,3545455
nose,694915
nothing,282051
notice,190476
number,7333333
object,176471
offer,315789
office,3166667
oil,2703704
one,5666667
opposite,111111
orange,1439024
order,1941176
other,1083333
outside,492537
page,754386
pain,2225806
paint,1222222
pair,204819
paper,1000000
parent,315789
park,6142857
part,1272727
partner,219512
party,1702703
pass,1127660
past,369863
path,282051
pay,2333333
peace,234568
pen,351351
people,3347826
person,1173913
piano,369863
pick,960784
picture,1127660
piece,612903
pin,369863
place,2225806
plane,538462
plant,1173913
plastic,724138
plate,538462
play,2571429
plenty,41667
point,1564103
police,1173913
pool,1272727
position,351351
possible,234568
potato,538462
power,2571429
present,162791
press,666667
price,4555556
private,666667
prize,75269
problem,298701
produce,190476
promise,86957
public,1380952
pull,470588
push,250000
put,1857143
queen,1272727
question,219512
quiet,219512
radio,1127660
rain,587302
raise,219512
reach,162791
read,612903
record,960784
red,5250000
remove,1083333
rent,2448276
repair,1564103
repeat,41667
reply,52632
report,1127660
rest,265823
restaurant,3347826
result,176471
return,851852
rice,1040816
rich,351351
ride,587302
ring,1777778
rise,388889
road,2703704
rock,2333333
room,1702703
round,886792
rule,562500
run,1325581
rush,265823
sad,204819
safe,1173913
sail,63830
salt,851852
sand,408451
save,612903
school,7333333
science,612903
search,1702703
seat,754386
second,724138
sell,851852
sentence,282051
serve,234568
shake,333333
shape,250000
share,449275
shine,219512
ship,492537
shirt,1325581
shoe,754386
shoot,190476
shop,2846154
shoulder,428571
show,3545455
sick,388889
side,2333333
signal,190476
silly,30928
silver,1173913
simple,538462
single,694915
sing,298701
sink,315789
sister,612903
size,3166667
skill,98901
skirt,234568
sky,724138
sleep,1127660
slip,219512
smell,449275
smile,282051
smoke,754386
snow,886792
sock,75269
soft,538462
son,1127660
sound,923077
soup,818182
south,3166667
space,1173913
special,587302
speed,1222222
spell,388889
spend,98901
sport,694915
spread,234568
spring,1222222
square,1222222
stand,1127660
star,2448276
start,2125000
station,1500000
stay,886792
steal,63830
step,612903
still,1439024
stomach,754386
stop,1777778
store,5666667
storm,587302
story,1439024
street,3166667
structure,219512
student,1040816
study,470588
subject,75269
sugar,1173913
summer,1222222
sun,1173913
support,1272727
surprise,123596
sweet,1083333
swim,428571
table,1857143
talk,724138
taste,449275
tea,1083333
teach,136364
team,1500000
tear,162791
telephone,176471
television,75269
tell,1000000
tennis,612903
test,4263158
thing,562500
tie,388889
title,562500
today,5250000
toe,369863
tomorrow,1631579
tonight,923077
tool,818182
tooth,388889
top,3166667
total,639344
touch,449275
town,1127660
train,886792
travel,1380952
tree,2333333
trouble,162791
trust,408451
try,234568
turn,1439024
type,1564103
uncle,204819
unit,666667
use,4000000
usual,20408
vegetable,176471
village,1000000
voice,886792
visit,351351
wait,298701
wake,333333
walk,694915
wash,960784
watch,3545455
water,4882353
way,2571429
wear,923077
weather,15666667
wedding,1439024
week,1272727
welcome,219512
west,3761905
wheel,1000000
while,1083333
wife,1631579
will,4555556
win,562500
wind,408451
window,851852
wine,1173913
winter,1127660
wish,250000
woman,1439024
wonder,234568
word,2225806
work,3347826
world,4000000
worry,52632
yard,538462
yesterday,162791
you,24000000
young,1439024
two,1941176